killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
AKM,yuejingbutiao,29,303959.8,500766.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,578,DWXBzyb,6,303937.2,501756.9
Grenade,xzz0727ljj,6,363448.9,581731.7,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1133,xzz0727ljj,6,363448.9,581731.7
Down and Out,Ailurophile_,7,354640.8,571274.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1074,Chensir1014,6,367865,585908.8
M16A4,PhyrexianNegator,17,457654.7,626385.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,534,MAPSMIKE,6,457704.9,626966.8
Bluezone,DishonestPlace,5,82045.64,480374.9,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1620,Hi_Im_Cody,7,71785.94,466013.6
Mk14,DishonestPlace,5,81911.62,481832.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1629,washyleopard,7,74290.44,473570.5
Down and Out,xzz0727ljj,6,367756.4,586018.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1090,Ailurophile_,7,363731.1,580955.2
M416,iiBroKeN,1,612070.4,588757.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,524,LZ-Arlin,7,613482.1,589053.9
AKM,Bugs-BunnyKW,1,614103.7,591398.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,491,CJpp,7,613913.8,589978.6
Kar98k,TriscuitDaBisket,5,84147.59,478509.6,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1568,RemyGames,8,77647.35,469083.6
Down and Out,TriscuitDaBisket,5,84149.05,478545.3,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1561,Suspected,8,82009.03,467887.4
UMP9,FP04YT,3,159415.9,491152.1,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1048,himynameizzryan,8,158377.1,488461.5
Down and Out,Twiist_Legacy,3,160132.6,491417.2,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1072,KevinNeverDies,8,161075,489281.4
M16A4,Teaksanny,3,161406.3,489663.1,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,1072,CheapPlastic,8,161186.6,488970.9
SCAR-L,daheng----1993,1,211951,485952.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1474,MCB88,8,207412.2,488753.1
Down and Out,TriscuitDaBisket,5,84500.23,478793.2,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1534,Denleslaw,9,84038.77,479518.1
M416,TriscuitDaBisket,5,84547.94,478682.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1534,Pandagamer0915,9,84441.48,479126.9
S686,FOP-PAKE,9,346115.7,561415.2,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,904,Kaori-Kawai,9,346076.4,561059.5
Down and Out,Ailurophile_,7,341518.5,547353.1,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,951,FOP-PAKE,9,352549.4,570037.3
Down and Out,Canglaoshi0,7,353971.9,570350.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,929,Dotamobua,9,353426.3,569987.6
Grenade,Ailurophile_,7,355431.1,572313.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,997,xipan,9,354124.7,571270.4
M416,DishonestPlace,5,82438.92,479957.5,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1528,jc3po,10,92087.94,496110.4
SCAR-L,PAPcannon,2,369353.9,490466.5,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,962,vnkiller,10,369402.5,491273.5
SCAR-L,PAPcannon,2,369430.2,491525.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,967,GYgroup,10,370180.9,496541.1
